image_id,source,expected_target,expected_crop,expected_part,expected_class,expected_behavior,notes,original_source,resolved_source_path,disease_class,user_like_bucket
demo_018,staged_external:docs/demo_assets/m2_full_image_set/images/demo_018_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_antraknoz_meyve,known supported target; disease answer or review expected,user-like M2 curated set; bucket=difficult; source_split=test; source_class=üzüm_antraknoz_meyve,data\prepared_runtime_datasets\grape__fruit\test\üzüm_antraknoz_meyve\Bağ antraknozu 79.JPG,docs/demo_assets/m2_full_image_set/images/demo_018_grape_fruit.jpg,üzüm_antraknoz_meyve,difficult
demo_019,staged_external:docs/demo_assets/m2_full_image_set/images/demo_019_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_antraknoz_meyve,known supported target; disease answer or review expected,user-like M2 curated set; bucket=difficult; source_split=test; source_class=üzüm_antraknoz_meyve,data\prepared_runtime_datasets\grape__fruit\test\üzüm_antraknoz_meyve\Bağ antraknozu 252.JPG,docs/demo_assets/m2_full_image_set/images/demo_019_grape_fruit.jpg,üzüm_antraknoz_meyve,difficult
demo_020,staged_external:docs/demo_assets/m2_full_image_set/images/demo_020_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_antraknoz_meyve,known supported target; disease answer or review expected,user-like M2 curated set; bucket=borderline; source_split=test; source_class=üzüm_antraknoz_meyve,data\prepared_runtime_datasets\grape__fruit\test\üzüm_antraknoz_meyve\Bağ Antraknozu 16.JPG,docs/demo_assets/m2_full_image_set/images/demo_020_grape_fruit.jpg,üzüm_antraknoz_meyve,borderline
demo_021,staged_external:docs/demo_assets/m2_full_image_set/images/demo_021_grape_leaf.jpg,grape__leaf,grape,leaf,üzüm_antraknoz_yaprak,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=üzüm_antraknoz_yaprak,data\prepared_runtime_datasets\grape__leaf\test\üzüm_antraknoz_yaprak\103.jpg,docs/demo_assets/m2_full_image_set/images/demo_021_grape_leaf.jpg,üzüm_antraknoz_yaprak,clear
demo_022,staged_external:docs/demo_assets/m2_full_image_set/images/demo_022_grape_leaf.jpg,grape__leaf,grape,leaf,üzüm_antraknoz_yaprak,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=üzüm_antraknoz_yaprak,data\prepared_runtime_datasets\grape__leaf\test\üzüm_antraknoz_yaprak\624.jpg,docs/demo_assets/m2_full_image_set/images/demo_022_grape_leaf.jpg,üzüm_antraknoz_yaprak,clear
demo_023,staged_external:docs/demo_assets/m2_full_image_set/images/demo_023_grape_leaf.jpg,grape__leaf,grape,leaf,üzüm_antraknoz_yaprak,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=üzüm_antraknoz_yaprak,data\prepared_runtime_datasets\grape__leaf\test\üzüm_antraknoz_yaprak\641.jpg,docs/demo_assets/m2_full_image_set/images/demo_023_grape_leaf.jpg,üzüm_antraknoz_yaprak,clear
demo_024,staged_external:docs/demo_assets/m2_full_image_set/images/demo_024_grape_leaf.jpg,grape__leaf,grape,leaf,üzüm_antraknoz_yaprak,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=üzüm_antraknoz_yaprak,data\prepared_runtime_datasets\grape__leaf\test\üzüm_antraknoz_yaprak\65.jpg,docs/demo_assets/m2_full_image_set/images/demo_024_grape_leaf.jpg,üzüm_antraknoz_yaprak,clear
demo_025,staged_external:docs/demo_assets/m2_full_image_set/images/demo_025_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_çiçek_monilyası_meyve_40,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=kayısıda_çiçek_monilyası_meyve_40,data\prepared_runtime_datasets\apricot__fruit\test\kayısıda_çiçek_monilyası_meyve_40\Kaysıda Çiçek Monilyası 87.JPG,docs/demo_assets/m2_full_image_set/images/demo_025_apricot_fruit.jpg,kayısıda_çiçek_monilyası_meyve_40,clear
demo_026,staged_external:docs/demo_assets/m2_full_image_set/images/demo_026_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_çiçek_monilyası_meyve_40,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=kayısıda_çiçek_monilyası_meyve_40,data\prepared_runtime_datasets\apricot__fruit\test\kayısıda_çiçek_monilyası_meyve_40\Kaysıda Çiçek Monilyası 119.JPG,docs/demo_assets/m2_full_image_set/images/demo_026_apricot_fruit.jpg,kayısıda_çiçek_monilyası_meyve_40,clear
demo_027,staged_external:docs/demo_assets/m2_full_image_set/images/demo_027_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_çiçek_monilyası_meyve_40,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=kayısıda_çiçek_monilyası_meyve_40,data\prepared_runtime_datasets\apricot__fruit\test\kayısıda_çiçek_monilyası_meyve_40\Kaysıda Çiçek Monilyası 161.JPG,docs/demo_assets/m2_full_image_set/images/demo_027_apricot_fruit.jpg,kayısıda_çiçek_monilyası_meyve_40,clear
demo_028,staged_external:docs/demo_assets/m2_full_image_set/images/demo_028_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_çiçek_monilyası_meyve_40,known supported target; disease answer or review expected,user-like M2 curated set; bucket=difficult; source_split=test; source_class=kayısıda_çiçek_monilyası_meyve_40,data\prepared_runtime_datasets\apricot__fruit\test\kayısıda_çiçek_monilyası_meyve_40\Kaysıda Çiçek Monilyası 2.JPG,docs/demo_assets/m2_full_image_set/images/demo_028_apricot_fruit.jpg,kayısıda_çiçek_monilyası_meyve_40,difficult
demo_029,staged_external:docs/demo_assets/m2_full_image_set/images/demo_029_apricot_leaf.jpg,apricot__leaf,apricot,leaf,kayısı_şarka_virüsü_yaprak_206,known supported target; disease answer or review expected,user-like M2 curated set; bucket=difficult; source_split=test; source_class=kayısı_şarka_virüsü_yaprak_206,data\prepared_runtime_datasets\apricot__leaf\test\kayısı_şarka_virüsü_yaprak_206\Şarka Virüsü 66.JPG,docs/demo_assets/m2_full_image_set/images/demo_029_apricot_leaf.jpg,kayısı_şarka_virüsü_yaprak_206,difficult
demo_030,staged_external:docs/demo_assets/m2_full_image_set/images/demo_030_apricot_leaf.jpg,apricot__leaf,apricot,leaf,kayısı_şarka_virüsü_yaprak_206,known supported target; disease answer or review expected,user-like M2 curated set; bucket=borderline; source_split=test; source_class=kayısı_şarka_virüsü_yaprak_206,data\prepared_runtime_datasets\apricot__leaf\test\kayısı_şarka_virüsü_yaprak_206\Şarka Virüsü 448.JPG,docs/demo_assets/m2_full_image_set/images/demo_030_apricot_leaf.jpg,kayısı_şarka_virüsü_yaprak_206,borderline
demo_031,staged_external:docs/demo_assets/m2_full_image_set/images/demo_031_apricot_leaf.jpg,apricot__leaf,apricot,leaf,kayısı_şarka_virüsü_yaprak_206,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=kayısı_şarka_virüsü_yaprak_206,data\prepared_runtime_datasets\apricot__leaf\test\kayısı_şarka_virüsü_yaprak_206\Şarka Virüsü 69.JPG,docs/demo_assets/m2_full_image_set/images/demo_031_apricot_leaf.jpg,kayısı_şarka_virüsü_yaprak_206,clear
demo_032,staged_external:docs/demo_assets/m2_full_image_set/images/demo_032_apricot_leaf.jpg,apricot__leaf,apricot,leaf,kayısı_şarka_virüsü_yaprak_206,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=kayısı_şarka_virüsü_yaprak_206,data\prepared_runtime_datasets\apricot__leaf\test\kayısı_şarka_virüsü_yaprak_206\Şarka Virüsü 106.JPG,docs/demo_assets/m2_full_image_set/images/demo_032_apricot_leaf.jpg,kayısı_şarka_virüsü_yaprak_206,clear
demo_033,staged_external:docs/demo_assets/m2_full_image_set/images/demo_033_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=domates_bacterial_spot_and_speck_yaprak,data\prepared_runtime_datasets\tomato__leaf\test\domates_bacterial_spot_and_speck_yaprak\Kaggle_bacterial-speck-tomato-3_jpg.rf.d03fa072308b62fb01d9223eed74dac7.jpg,docs/demo_assets/m2_full_image_set/images/demo_033_tomato_leaf.jpg,domates_bacterial_spot_and_speck_yaprak,clear
demo_034,staged_external:docs/demo_assets/m2_full_image_set/images/demo_034_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_antraknoz_meyve,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=domates_antraknoz_meyve,data\prepared_runtime_datasets\tomato__fruit\test\domates_antraknoz_meyve\Kaggle_train_anthracnose_19-Copy_png.rf.7525048ab217901948bfc64393ad5b43.jpg,docs/demo_assets/m2_full_image_set/images/demo_034_tomato_fruit.jpg,domates_antraknoz_meyve,clear
demo_035,staged_external:docs/demo_assets/m2_full_image_set/images/demo_035_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_anthracnose_fruit,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=strawberry_anthracnose_fruit,data\prepared_runtime_datasets\strawberry__fruit\test\strawberry_anthracnose_fruit\anthracnose_fruit_rot_42.jpg,docs/demo_assets/m2_full_image_set/images/demo_035_strawberry_fruit.jpg,strawberry_anthracnose_fruit,clear
demo_036,staged_external:docs/demo_assets/m2_full_image_set/images/demo_036_grape_leaf.jpg,grape__leaf,grape,leaf,üzüm_antraknoz_yaprak,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=üzüm_antraknoz_yaprak,data\prepared_runtime_datasets\grape__leaf\test\üzüm_antraknoz_yaprak\666.jpg,docs/demo_assets/m2_full_image_set/images/demo_036_grape_leaf.jpg,üzüm_antraknoz_yaprak,clear
demo_037,staged_external:docs/demo_assets/m2_full_image_set/images/demo_037_apricot_leaf.jpg,apricot__leaf,apricot,leaf,kayısı_şarka_virüsü_yaprak_206,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=kayısı_şarka_virüsü_yaprak_206,data\prepared_runtime_datasets\apricot__leaf\test\kayısı_şarka_virüsü_yaprak_206\Şarka Virüsü 95.JPG,docs/demo_assets/m2_full_image_set/images/demo_037_apricot_leaf.jpg,kayısı_şarka_virüsü_yaprak_206,clear
demo_038,staged_external:docs/demo_assets/m2_full_image_set/images/demo_038_strawberry_leaf.jpg,strawberry__leaf,strawberry,leaf,strawberry_leaf_scorch_leaf,known supported target; disease answer or review expected,user-like M2 curated set; bucket=difficult; source_split=test; source_class=strawberry_leaf_scorch_leaf,data\prepared_runtime_datasets\strawberry__leaf\test\strawberry_leaf_scorch_leaf\Strawberry___Leaf_scorch_403.jpg,docs/demo_assets/m2_full_image_set/images/demo_038_strawberry_leaf.jpg,strawberry_leaf_scorch_leaf,difficult
demo_039,staged_external:docs/demo_assets/m2_full_image_set/images/demo_039_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_antraknoz_meyve,known supported target; disease answer or review expected,user-like M2 curated set; bucket=difficult; source_split=test; source_class=üzüm_antraknoz_meyve,data\prepared_runtime_datasets\grape__fruit\test\üzüm_antraknoz_meyve\Bağ antraknozu 292.JPG,docs/demo_assets/m2_full_image_set/images/demo_039_grape_fruit.jpg,üzüm_antraknoz_meyve,difficult
demo_040,staged_external:docs/demo_assets/m2_full_image_set/images/demo_040_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,known supported target; disease answer or review expected,user-like M2 curated set; bucket=borderline; source_split=test; source_class=domates_bacterial_spot_and_speck_yaprak,data\prepared_runtime_datasets\tomato__leaf\test\domates_bacterial_spot_and_speck_yaprak\Kaggle_BCH-20medium-20thumbnail-20for-20upload-20-2814-29_jpg.rf.eac6e0de03884e9dd6c309e3b5eb81b2.jpg,docs/demo_assets/m2_full_image_set/images/demo_040_tomato_leaf.jpg,domates_bacterial_spot_and_speck_yaprak,borderline
demo_041,staged_external:docs/demo_assets/m2_full_image_set/images/demo_041_unknown_crop.jpg,unknown_crop,unknown_crop,unknown,unsupported_crop,abstain/review expected for unsupported or non-plant input,user-like M2 curated set; bucket=clear; source_split=test; source_class=unsupported_crop,data\ood_dataset\final\apricot__leaf_ood_final\same_crop_unsupported_unknowns\Alternia-Leaf-Spot-Cucurbits-3.jpg,docs/demo_assets/m2_full_image_set/images/demo_041_unknown_crop.jpg,,clear
demo_042,staged_external:docs/demo_assets/m2_full_image_set/images/demo_042_unknown_crop.jpg,unknown_crop,unknown_crop,unknown,unsupported_crop,abstain/review expected for unsupported or non-plant input,user-like M2 curated set; bucket=clear; source_split=test; source_class=unsupported_crop,data\ood_dataset\final\tomato__leaf_ood_final\off_crop_secondary\off_crop_secondary__bell_pepper_bacterial_spot_Bing_0005.jpg,docs/demo_assets/m2_full_image_set/images/demo_042_unknown_crop.jpg,,clear
demo_043,staged_external:docs/demo_assets/m2_full_image_set/images/demo_043_tomato_unknown_part.jpg,tomato__unknown_part,tomato,unknown_part,unsupported_part,abstain/review expected for unsupported or non-plant input,user-like M2 curated set; bucket=clear; source_split=router_eval; source_class=unsupported_part,data\router_eval_holdout\wrong_part\tomato\unsupported_unknown\unsupported_same_crop_mgg_4cb293e9237f.jpg,docs/demo_assets/m2_full_image_set/images/demo_043_tomato_unknown_part.jpg,,clear
demo_044,staged_external:docs/demo_assets/m2_full_image_set/images/demo_044_grape_unknown_part.jpg,grape__unknown_part,grape,unknown_part,unsupported_part,abstain/review expected for unsupported or non-plant input,user-like M2 curated set; bucket=clear; source_split=router_eval; source_class=unsupported_part,data\router_eval_holdout\wrong_part\grape\unsupported_unknown\takviye_20260514_internet_20260509_plantdoc_train_grape_leaf_black_rot_co_033b55_033b55ada5b7.jpg,docs/demo_assets/m2_full_image_set/images/demo_044_grape_unknown_part.jpg,,clear
demo_045,staged_external:docs/demo_assets/m2_full_image_set/images/demo_045_non_plant.jpg,non_plant,non_plant,unknown,non_plant,abstain/review expected for unsupported or non-plant input,user-like M2 curated set; bucket=clear; source_split=test; source_class=non_plant,.runtime_tmp\m2_nonplant_internet\commons_nonplant_gardenwateringhoselyingongrassylawnjpg.jpg,docs/demo_assets/m2_full_image_set/images/demo_045_non_plant.jpg,,clear
demo_046,staged_external:docs/demo_assets/m2_full_image_set/images/demo_046_non_plant.jpg,non_plant,non_plant,unknown,non_plant,abstain/review expected for unsupported or non-plant input,user-like M2 curated set; bucket=clear; source_split=test; source_class=non_plant,.runtime_tmp\m2_nonplant_internet\commons_nonplant_gardentoolsjpg.jpg,docs/demo_assets/m2_full_image_set/images/demo_046_non_plant.jpg,,clear
demo_049,staged_external:docs/demo_assets/m2_full_image_set/images/demo_049_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_antraknoz_meyve,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=domates_antraknoz_meyve,data\prepared_runtime_datasets\tomato__fruit\test\domates_antraknoz_meyve\Kaggle_train_anthracnose_22_zoom_1_png.rf.0965f4a6e11e72b6a405d0e9231e0b14.jpg,docs/demo_assets/m2_full_image_set/images/demo_049_tomato_fruit.jpg,domates_antraknoz_meyve,clear
demo_050,staged_external:docs/demo_assets/m2_full_image_set/images/demo_050_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_antraknoz_meyve,known supported target; disease answer or review expected,user-like M2 curated set; bucket=difficult; source_split=test; source_class=domates_antraknoz_meyve,data\prepared_runtime_datasets\tomato__fruit\test\domates_antraknoz_meyve\Kaggle_train_anthracnose_24-Copy_png.rf.e93f114f28a88c99d1ba5cb5d9c04c9b.jpg,docs/demo_assets/m2_full_image_set/images/demo_050_tomato_fruit.jpg,domates_antraknoz_meyve,difficult
demo_051,staged_external:docs/demo_assets/m2_full_image_set/images/demo_051_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_antraknoz_meyve,known supported target; disease answer or review expected,user-like M2 curated set; bucket=difficult; source_split=test; source_class=domates_antraknoz_meyve,data\prepared_runtime_datasets\tomato__fruit\test\domates_antraknoz_meyve\Kaggle_train_anthracnose_3-Copy_png.rf.6cc0f31a793088eea812ca66ddc12403.jpg,docs/demo_assets/m2_full_image_set/images/demo_051_tomato_fruit.jpg,domates_antraknoz_meyve,difficult
demo_052,staged_external:docs/demo_assets/m2_full_image_set/images/demo_052_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_antraknoz_meyve,known supported target; disease answer or review expected,user-like M2 curated set; bucket=borderline; source_split=test; source_class=domates_antraknoz_meyve,data\prepared_runtime_datasets\tomato__fruit\test\domates_antraknoz_meyve\Kaggle_train_anthracnose_5-Copy_png.rf.85e68af386511df8beb4e150e4d357f5.jpg,docs/demo_assets/m2_full_image_set/images/demo_052_tomato_fruit.jpg,domates_antraknoz_meyve,borderline
demo_053,staged_external:docs/demo_assets/m2_full_image_set/images/demo_053_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_antraknoz_meyve,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=domates_antraknoz_meyve,data\prepared_runtime_datasets\tomato__fruit\test\domates_antraknoz_meyve\Kaggle_train_anthracnose_6_zoom_4_png.rf.cc6b4023bf2945edcb596399ba776e48.jpg,docs/demo_assets/m2_full_image_set/images/demo_053_tomato_fruit.jpg,domates_antraknoz_meyve,clear
demo_054,staged_external:docs/demo_assets/m2_full_image_set/images/demo_054_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=domates_bacterial_spot_and_speck_meyve,data\prepared_runtime_datasets\tomato__fruit\test\domates_bacterial_spot_and_speck_meyve\tomato_bacterial_leaf_spot_147.jpg,docs/demo_assets/m2_full_image_set/images/demo_054_tomato_fruit.jpg,domates_bacterial_spot_and_speck_meyve,clear
demo_055,staged_external:docs/demo_assets/m2_full_image_set/images/demo_055_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,known supported target; disease answer or review expected,user-like M2 curated set; bucket=clear; source_split=test; source_class=domates_bacterial_spot_and_speck_meyve,data\prepared_runtime_datasets\tomato__fruit\test\domates_bacterial_spot_and_speck_meyve\tomato_bacterial_leaf_spot_64.jpg,docs/demo_assets/m2_full_image_set/images/demo_055_tomato_fruit.jpg,domates_bacterial_spot_and_speck_meyve,clear
